Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
1758933-56.2025.8.15.4413,PB,Não reconhece operação,Golpe,Êxito,Improcedência,22014.3,0.0,0,1,0,0,0,1
6495447-33.2025.8.07.9698,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,13287.85,9299.71,1,0,0,0,1,1
8108519-51.2025.8.08.8646,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9365.4,4815.36,1,0,1,0,1,1
6918980-41.2025.8.07.1462,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,12872.84,11108.18,1,1,0,1,1,1
3454524-49.2025.8.27.0377,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16915.79,16915.79,1,0,1,0,1,1
2003096-20.2025.8.22.6860,RO,Não reconhece operação,Golpe,Êxito,Extinção,13838.2,0.0,1,1,0,1,1,0
2645703-89.2025.8.21.2373,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,21887.06,16569.8,1,1,0,0,0,1
7723776-64.2025.8.21.8080,RS,Não reconhece operação,Golpe,Não Êxito,Procedência,19520.87,13812.34,0,1,1,0,1,1
9846179-48.2025.8.26.6273,SP,Não reconhece operação,Golpe,Êxito,Improcedência,15886.71,0.0,1,1,0,0,0,1
6287556-47.2025.8.04.6669,AM,Não reconhece operação,Golpe,Êxito,Improcedência,5392.65,0.0,1,1,1,1,1,1
6246875-53.2025.8.24.6658,SC,Não reconhece operação,Golpe,Êxito,Improcedência,11585.37,0.0,1,1,1,1,1,1
1456031-23.2025.8.02.5914,AL,Não reconhece operação,Golpe,Êxito,Extinção,12293.14,0.0,1,1,1,1,1,1
6263290-79.2025.8.11.9758,MT,Não reconhece operação,Golpe,Êxito,Extinção,11318.67,0.0,1,1,1,1,1,1
5125740-72.2025.8.18.6591,PI,Não reconhece operação,Golpe,Êxito,Extinção,15918.52,0.0,1,1,0,0,1,1
3281782-50.2025.8.10.0952,MA,Não reconhece operação,Golpe,Êxito,Improcedência,16019.7,0.0,0,1,1,0,1,0
2212652-64.2025.8.03.8292,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,6767.78,5012.03,0,1,0,1,1,0
9514494-41.2025.8.06.6596,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18930.22,9623.36,0,0,0,0,1,1
9831858-54.2025.8.21.8622,RS,Não reconhece operação,Golpe,Êxito,Improcedência,15061.31,0.0,1,1,0,1,0,1
1850611-11.2025.8.09.6502,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,16737.08,16737.08,1,1,1,1,1,0
7349785-76.2025.8.09.2121,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18636.93,12944.99,1,1,0,1,1,1
6126075-15.2025.8.25.6531,SE,Não reconhece operação,Genérico,Êxito,Improcedência,11218.8,0.0,1,1,1,1,0,1
8401085-38.2025.8.03.0562,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,21159.44,20034.04,1,1,0,0,1,1
6634854-28.2025.8.25.3819,SE,Não reconhece operação,Golpe,Êxito,Improcedência,14286.44,0.0,1,0,1,0,1,1
4930728-65.2025.8.25.3001,SE,Não reconhece operação,Golpe,Êxito,Improcedência,22404.01,0.0,1,1,0,0,0,1
1366374-37.2025.8.18.6859,PI,Não reconhece operação,Golpe,Êxito,Extinção,10595.81,0.0,1,1,1,1,1,1
4635186-90.2025.8.05.3372,BA,Não reconhece operação,Golpe,Não Êxito,Procedência,22039.43,21367.53,0,1,1,1,1,1
6306122-64.2025.8.05.0650,BA,Não reconhece operação,Golpe,Êxito,Improcedência,10546.49,0.0,1,1,0,1,1,1
6047350-97.2025.8.08.6427,ES,Não reconhece operação,Golpe,Êxito,Improcedência,27488.65,0.0,1,1,1,1,1,1
4935400-83.2025.8.17.1518,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10311.7,5444.14,1,1,0,1,1,1
3478924-14.2025.8.05.8109,BA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,20166.69,18239.42,1,0,0,1,1,1
4852449-64.2025.8.11.5932,MT,Não reconhece operação,Genérico,Êxito,Improcedência,13203.98,0.0,0,1,1,0,0,1
7554528-88.2025.8.03.4907,AP,Não reconhece operação,Golpe,Êxito,Improcedência,18490.69,0.0,1,1,1,1,1,1
6945988-24.2025.8.15.7872,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,14783.34,6356.51,0,1,1,0,1,1
5137095-65.2025.8.01.6503,AC,Não reconhece operação,Genérico,Não Êxito,Procedência,9627.7,8346.59,0,0,0,1,1,1
3876464-94.2025.8.20.2684,RN,Não reconhece operação,Golpe,Êxito,Extinção,1258.61,0.0,1,1,0,1,1,0
3389689-37.2025.8.02.4063,AL,Não reconhece operação,Genérico,Êxito,Extinção,27286.49,0.0,1,1,1,0,0,1
4205752-74.2025.8.06.0236,CE,Não reconhece operação,Golpe,Êxito,Improcedência,15340.51,0.0,1,0,0,0,1,0
6395554-62.2025.8.05.0243,BA,Não reconhece operação,Genérico,Êxito,Extinção,1000.0,0.0,1,1,1,0,1,1
9015475-13.2025.8.21.6829,RS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,16467.04,11118.59,1,0,0,0,1,1
4176527-96.2025.8.02.8262,AL,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18365.88,12745.17,0,1,0,1,0,1
6577389-13.2025.8.12.6142,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11473.41,8639.72,1,1,0,0,1,0
4980186-69.2025.8.17.3098,PE,Não reconhece operação,Golpe,Não Êxito,Procedência,11506.41,6141.43,0,0,1,0,0,1
1895716-24.2025.8.14.5858,PA,Não reconhece operação,Golpe,Êxito,Extinção,14884.83,0.0,1,1,1,1,1,1
8186073-46.2025.8.19.3142,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,20883.13,0.0,0,1,1,1,1,1
7783118-97.2025.8.23.8801,RR,Não reconhece operação,Genérico,Êxito,Improcedência,15472.68,0.0,1,1,1,1,1,1
3864456-79.2025.8.13.1130,MG,Não reconhece operação,Golpe,Êxito,Improcedência,22162.0,0.0,1,1,1,0,1,1
1764351-81.2025.8.21.8566,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20532.9,18258.76,1,0,0,0,1,0
5252916-55.2025.8.09.6861,GO,Não reconhece operação,Genérico,Êxito,Extinção,13859.58,0.0,1,1,1,0,1,1
7030788-59.2025.8.27.4019,TO,Não reconhece operação,Golpe,Não Êxito,Procedência,7275.89,4596.48,0,0,1,1,1,0
4034242-39.2025.8.14.5581,PA,Não reconhece operação,Golpe,Êxito,Improcedência,13869.96,0.0,1,1,0,1,1,1
4233638-47.2025.8.20.2920,RN,Não reconhece operação,Genérico,Êxito,Improcedência,17565.56,0.0,1,1,1,1,0,0
2760352-82.2025.8.24.8241,SC,Não reconhece operação,Golpe,Êxito,Improcedência,15276.08,0.0,1,1,1,1,0,0
7299876-41.2025.8.23.8519,RR,Não reconhece operação,Golpe,Êxito,Extinção,18095.21,0.0,1,1,0,1,1,1
4183416-27.2025.8.21.9333,RS,Não reconhece operação,Golpe,Êxito,Improcedência,19218.85,0.0,1,0,1,1,1,0
6428189-44.2025.8.15.3496,PB,Não reconhece operação,Genérico,Êxito,Improcedência,17587.03,0.0,1,1,1,1,0,0
8730210-75.2025.8.02.1665,AL,Não reconhece operação,Golpe,Êxito,Extinção,13631.2,0.0,1,1,1,1,1,1
7302444-93.2025.8.14.0764,PA,Não reconhece operação,Golpe,Êxito,Extinção,17533.18,0.0,1,1,1,0,0,1
3918705-45.2025.8.05.1274,BA,Não reconhece operação,Golpe,Êxito,Improcedência,25951.35,0.0,1,1,1,1,1,1
5370753-79.2025.8.25.5214,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,7671.6,7574.23,0,0,1,1,0,1
8141012-30.2025.8.07.4631,DF,Não reconhece operação,Genérico,Êxito,Extinção,17373.23,0.0,1,1,1,1,1,1
3123089-23.2025.8.07.9446,DF,Não reconhece operação,Golpe,Êxito,Extinção,23971.53,0.0,1,1,0,0,1,1
9963490-27.2025.8.07.1789,DF,Não reconhece operação,Genérico,Êxito,Extinção,9218.67,0.0,1,1,1,0,1,1
8247373-84.2025.8.16.5458,PR,Não reconhece operação,Golpe,Êxito,Extinção,19894.43,0.0,1,1,1,1,1,1
8846659-33.2025.8.17.3208,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20550.06,8287.7,1,0,1,0,1,1
6940088-56.2025.8.26.6196,SP,Não reconhece operação,Genérico,Êxito,Extinção,7735.55,0.0,1,1,0,0,0,1
3074480-93.2025.8.12.3629,MS,Não reconhece operação,Golpe,Êxito,Extinção,18477.64,0.0,1,1,1,1,1,0
2509797-33.2025.8.08.4818,ES,Não reconhece operação,Golpe,Êxito,Extinção,13650.89,0.0,1,1,0,1,1,1
7347763-78.2025.8.02.0301,AL,Não reconhece operação,Genérico,Êxito,Extinção,14685.6,0.0,1,1,1,1,1,1
6123653-12.2025.8.01.3747,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13387.69,8453.77,0,0,0,1,1,1
2081521-39.2025.8.13.9578,MG,Não reconhece operação,Golpe,Êxito,Improcedência,21423.34,0.0,1,1,1,1,1,0
2078041-13.2025.8.25.8331,SE,Não reconhece operação,Genérico,Êxito,Extinção,14432.03,0.0,1,1,1,1,1,1
8569131-78.2025.8.15.3094,PB,Não reconhece operação,Golpe,Êxito,Improcedência,12708.79,0.0,1,1,1,1,0,1
8175296-63.2025.8.25.0781,SE,Não reconhece operação,Golpe,Êxito,Extinção,12791.9,0.0,1,0,1,1,0,1
4927103-67.2025.8.04.4967,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13309.01,13309.01,0,0,0,1,1,1
9688530-41.2025.8.04.2644,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,9685.09,9685.09,1,1,0,1,0,1
3786883-44.2025.8.21.9476,RS,Não reconhece operação,Golpe,Êxito,Improcedência,12665.51,0.0,1,1,0,1,1,1
6926082-19.2025.8.04.3552,AM,Não reconhece operação,Golpe,Êxito,Improcedência,15559.58,0.0,1,1,1,1,1,1
2254933-60.2025.8.02.3479,AL,Não reconhece operação,Golpe,Êxito,Improcedência,16966.43,0.0,1,1,0,1,0,1
5723829-81.2025.8.13.9737,MG,Não reconhece operação,Golpe,Êxito,Improcedência,20890.22,0.0,0,1,1,0,0,0
1934931-69.2025.8.25.7234,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,16164.64,11150.52,1,0,0,1,1,1
9114652-14.2025.8.19.5010,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12654.05,9422.56,0,0,0,1,1,0
2820647-66.2025.8.04.2322,AM,Não reconhece operação,Golpe,Êxito,Improcedência,10021.19,0.0,1,1,1,1,1,1
5789779-94.2025.8.21.7912,RS,Não reconhece operação,Genérico,Não Êxito,Procedência,16427.19,6386.86,0,1,0,1,1,1
2485525-15.2025.8.21.1727,RS,Não reconhece operação,Golpe,Êxito,Extinção,14406.27,0.0,1,1,1,1,1,1
6656253-67.2025.8.23.9296,RR,Não reconhece operação,Golpe,Êxito,Improcedência,14568.46,0.0,1,1,1,1,1,1
3391300-71.2025.8.25.1789,SE,Não reconhece operação,Genérico,Êxito,Improcedência,16270.38,0.0,0,1,1,1,0,1
6753295-98.2025.8.07.3027,DF,Não reconhece operação,Golpe,Êxito,Improcedência,17530.75,0.0,1,1,0,0,1,1
5323261-48.2025.8.27.8794,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16305.74,14774.75,1,0,1,1,1,1
9226158-62.2025.8.09.5688,GO,Não reconhece operação,Genérico,Êxito,Improcedência,14145.49,0.0,0,1,1,1,0,1
7268564-65.2025.8.23.4820,RR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11049.94,7929.29,1,0,0,1,1,1
7228087-73.2025.8.17.6203,PE,Não reconhece operação,Golpe,Êxito,Improcedência,11975.36,0.0,1,1,1,0,1,0
5071850-70.2025.8.23.6627,RR,Não reconhece operação,Golpe,Êxito,Improcedência,19144.47,0.0,1,1,0,1,1,1
7840052-36.2025.8.18.9371,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12903.72,10540.56,0,1,1,0,0,1
1560807-11.2025.8.16.3706,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,8377.38,5686.04,0,0,1,1,0,1
1489880-86.2025.8.18.0097,PI,Não reconhece operação,Genérico,Êxito,Extinção,20672.04,0.0,1,1,0,1,1,1
9775753-97.2025.8.23.2819,RR,Não reconhece operação,Golpe,Êxito,Improcedência,10358.1,0.0,1,1,1,1,1,0
2218279-85.2025.8.20.0270,RN,Não reconhece operação,Genérico,Êxito,Improcedência,15155.14,0.0,1,1,0,0,0,1
9057963-13.2025.8.03.7143,AP,Não reconhece operação,Genérico,Êxito,Extinção,17392.25,0.0,1,1,0,0,0,0
5468682-71.2025.8.21.7579,RS,Não reconhece operação,Golpe,Não Êxito,Procedência,14997.99,12345.59,0,1,0,0,1,1
4187654-18.2025.8.15.8019,PB,Não reconhece operação,Genérico,Êxito,Extinção,2822.38,0.0,1,1,1,1,1,1
8847643-44.2025.8.09.4769,GO,Não reconhece operação,Genérico,Êxito,Extinção,16898.25,0.0,1,1,0,0,0,1
9478583-35.2025.8.14.9169,PA,Não reconhece operação,Genérico,Êxito,Extinção,21490.93,0.0,1,0,1,1,1,1
8268609-87.2025.8.27.4966,TO,Não reconhece operação,Golpe,Êxito,Improcedência,18841.58,0.0,1,1,1,1,1,1
5857378-54.2025.8.24.5366,SC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,4560.1,2546.73,0,1,1,1,1,1
8837125-26.2025.8.21.4170,RS,Não reconhece operação,Golpe,Êxito,Improcedência,25420.23,0.0,1,1,1,0,1,0
7808090-31.2025.8.11.5418,MT,Não reconhece operação,Golpe,Êxito,Improcedência,8476.46,0.0,1,1,1,1,1,1
8702661-88.2025.8.23.1678,RR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9690.57,8575.77,0,0,1,1,1,1
9471754-61.2025.8.13.4175,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18818.74,15679.2,0,1,1,1,0,1
2865079-68.2025.8.19.8289,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,17204.21,0.0,1,1,0,1,1,1
3739960-33.2025.8.16.3416,PR,Não reconhece operação,Genérico,Êxito,Improcedência,15376.38,0.0,0,0,1,1,0,1
8792985-17.2025.8.07.5064,DF,Não reconhece operação,Golpe,Êxito,Improcedência,12188.21,0.0,1,1,1,0,1,1
2398024-76.2025.8.08.5346,ES,Não reconhece operação,Golpe,Êxito,Improcedência,21512.49,0.0,0,1,1,1,1,1
5858724-45.2025.8.02.3661,AL,Não reconhece operação,Golpe,Êxito,Improcedência,14789.23,0.0,1,1,1,1,0,1
5032050-78.2025.8.03.7335,AP,Não reconhece operação,Golpe,Êxito,Improcedência,7298.99,0.0,1,1,0,1,0,1
5844238-59.2025.8.12.4801,MS,Não reconhece operação,Golpe,Êxito,Improcedência,21028.89,0.0,1,1,0,1,1,0
2808354-81.2025.8.11.7128,MT,Não reconhece operação,Golpe,Êxito,Improcedência,16058.19,0.0,1,1,1,1,1,1
4851732-86.2025.8.05.1583,BA,Não reconhece operação,Golpe,Êxito,Improcedência,20453.35,0.0,1,1,0,1,1,0
4357875-78.2025.8.12.3650,MS,Não reconhece operação,Golpe,Êxito,Extinção,17791.6,0.0,1,1,1,1,0,1
6388480-56.2025.8.18.1724,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,26717.49,20966.07,1,0,0,1,1,1
8589800-61.2025.8.07.7637,DF,Não reconhece operação,Golpe,Êxito,Improcedência,13461.22,0.0,1,1,1,0,0,0
4153005-62.2025.8.10.4448,MA,Não reconhece operação,Golpe,Êxito,Improcedência,15061.16,0.0,1,1,1,1,1,1
1389413-43.2025.8.10.7912,MA,Não reconhece operação,Golpe,Êxito,Extinção,18514.28,0.0,1,1,1,1,1,1
3183305-17.2025.8.14.6239,PA,Não reconhece operação,Golpe,Êxito,Improcedência,13491.53,0.0,0,1,1,0,1,1
2141066-95.2025.8.10.6459,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18920.6,18920.6,0,1,0,1,1,1
8636157-25.2025.8.20.9837,RN,Não reconhece operação,Golpe,Êxito,Improcedência,1000.0,0.0,1,1,1,0,0,1
7794432-46.2025.8.09.2475,GO,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14625.06,7895.51,1,0,1,0,1,1
5203943-39.2025.8.12.4517,MS,Não reconhece operação,Genérico,Êxito,Extinção,14476.83,0.0,1,1,1,0,0,0
2573734-26.2025.8.13.6969,MG,Não reconhece operação,Genérico,Não Êxito,Procedência,14299.09,6897.53,1,0,0,1,1,1
7685165-45.2025.8.05.4452,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10679.26,6652.43,0,1,0,0,1,1
3878520-91.2025.8.19.2839,RJ,Não reconhece operação,Golpe,Êxito,Extinção,19428.39,0.0,1,1,0,1,0,1
6357102-28.2025.8.07.5866,DF,Não reconhece operação,Golpe,Êxito,Improcedência,12506.96,0.0,1,1,0,1,1,1
1957413-32.2025.8.09.9004,GO,Não reconhece operação,Genérico,Êxito,Improcedência,15964.91,0.0,1,1,0,0,1,1
2531753-18.2025.8.23.8904,RR,Não reconhece operação,Genérico,Êxito,Improcedência,14799.84,0.0,1,1,1,1,1,1
1593841-56.2025.8.26.1861,SP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,17437.4,10446.8,0,1,1,0,1,1
9141186-93.2025.8.19.7525,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,22003.68,0.0,1,1,1,1,0,1
1112335-71.2025.8.25.5850,SE,Não reconhece operação,Golpe,Êxito,Improcedência,15939.54,0.0,1,1,1,1,1,1
2149950-92.2025.8.24.9896,SC,Não reconhece operação,Genérico,Êxito,Improcedência,19110.79,0.0,1,1,0,1,1,1
2424023-20.2025.8.11.9086,MT,Não reconhece operação,Genérico,Êxito,Improcedência,15693.05,0.0,0,1,1,0,1,0
6826396-68.2025.8.22.8765,RO,Não reconhece operação,Golpe,Êxito,Extinção,12499.29,0.0,1,1,1,1,1,1
7292912-23.2025.8.09.5226,GO,Não reconhece operação,Genérico,Êxito,Extinção,14287.59,0.0,0,1,0,0,0,1
1981215-93.2025.8.11.7997,MT,Não reconhece operação,Golpe,Êxito,Improcedência,13590.9,0.0,0,1,1,1,0,1
8408347-35.2025.8.15.2949,PB,Não reconhece operação,Genérico,Êxito,Improcedência,17770.07,0.0,1,1,1,0,1,1
6747903-87.2025.8.26.5760,SP,Não reconhece operação,Genérico,Não Êxito,Procedência,15505.52,9378.12,0,0,1,1,1,1
7134671-52.2025.8.21.8625,RS,Não reconhece operação,Golpe,Êxito,Extinção,11084.87,0.0,1,1,0,0,1,0
8729833-70.2025.8.14.4862,PA,Não reconhece operação,Golpe,Êxito,Improcedência,13893.06,0.0,1,1,1,1,0,1
4671955-39.2025.8.16.6980,PR,Não reconhece operação,Golpe,Êxito,Improcedência,7494.77,0.0,1,1,1,1,1,1
4099542-86.2025.8.06.8996,CE,Não reconhece operação,Genérico,Êxito,Extinção,14076.38,0.0,1,1,1,0,1,0
6245672-50.2025.8.23.8137,RR,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14988.6,9353.68,1,0,0,1,1,0
5305942-22.2025.8.15.0459,PB,Não reconhece operação,Golpe,Êxito,Improcedência,23855.95,0.0,1,1,1,1,0,1
2901204-67.2025.8.15.1022,PB,Não reconhece operação,Genérico,Êxito,Improcedência,21598.83,0.0,1,0,1,0,1,0
9334377-23.2025.8.22.5219,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9908.16,9908.16,1,0,0,0,1,1
6202070-45.2025.8.16.1564,PR,Não reconhece operação,Golpe,Êxito,Improcedência,15972.24,0.0,1,1,0,0,0,1
9591369-89.2025.8.02.9156,AL,Não reconhece operação,Golpe,Êxito,Improcedência,16058.31,0.0,1,1,1,0,0,1
7414874-88.2025.8.08.6422,ES,Não reconhece operação,Golpe,Êxito,Extinção,13851.47,0.0,1,1,1,0,1,0
9977337-89.2025.8.05.7593,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14164.28,11259.0,0,1,1,1,0,1
1346286-70.2025.8.20.0359,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13245.42,7468.05,0,1,0,1,1,1
4021322-72.2025.8.01.3140,AC,Não reconhece operação,Golpe,Êxito,Extinção,24171.27,0.0,1,1,1,0,1,1
2035405-34.2025.8.06.6864,CE,Não reconhece operação,Golpe,Êxito,Improcedência,12940.05,0.0,1,1,0,0,1,1
6979762-60.2025.8.18.1013,PI,Não reconhece operação,Genérico,Êxito,Improcedência,16655.12,0.0,1,1,0,1,1,1
1447331-52.2025.8.19.3225,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,2572.66,1939.69,0,1,1,1,1,1
2301614-97.2025.8.14.6416,PA,Não reconhece operação,Genérico,Êxito,Improcedência,19023.31,0.0,1,1,1,1,1,1
9695969-49.2025.8.24.5303,SC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20793.14,10590.68,0,0,0,0,1,1
3816048-17.2025.8.25.5132,SE,Não reconhece operação,Golpe,Êxito,Improcedência,9820.05,0.0,1,1,0,1,1,1
8514259-89.2025.8.03.6327,AP,Não reconhece operação,Golpe,Êxito,Improcedência,12470.45,0.0,1,1,0,0,1,1
5206495-55.2025.8.26.8006,SP,Não reconhece operação,Golpe,Não Êxito,Procedência,17197.65,14161.07,0,0,1,0,1,1
3434926-72.2025.8.18.2537,PI,Não reconhece operação,Golpe,Êxito,Improcedência,15077.68,0.0,1,1,0,1,1,0
3825449-42.2025.8.16.4797,PR,Não reconhece operação,Golpe,Êxito,Improcedência,17270.59,0.0,0,1,0,1,1,1
4794905-43.2025.8.04.5280,AM,Não reconhece operação,Golpe,Êxito,Improcedência,13572.75,0.0,1,1,0,1,1,1
2676281-92.2025.8.18.5286,PI,Não reconhece operação,Golpe,Êxito,Extinção,24124.93,0.0,1,1,1,1,1,1
5705202-11.2025.8.20.1920,RN,Não reconhece operação,Golpe,Êxito,Extinção,11695.89,0.0,1,0,1,1,1,0
2091434-49.2025.8.17.2642,PE,Não reconhece operação,Golpe,Êxito,Improcedência,28189.31,0.0,1,1,1,1,1,1
3980326-93.2025.8.04.1902,AM,Não reconhece operação,Genérico,Êxito,Improcedência,21076.11,0.0,1,1,0,0,1,0
4341446-57.2025.8.15.2777,PB,Não reconhece operação,Golpe,Êxito,Improcedência,19065.25,0.0,1,1,0,1,0,1
3439541-72.2025.8.26.7144,SP,Não reconhece operação,Genérico,Êxito,Improcedência,9876.74,0.0,1,1,1,1,1,1
1329821-82.2025.8.20.3409,RN,Não reconhece operação,Genérico,Êxito,Improcedência,19445.86,0.0,1,1,1,1,1,1
5499871-47.2025.8.03.0716,AP,Não reconhece operação,Genérico,Êxito,Improcedência,17945.62,0.0,1,1,1,0,1,1
8499551-45.2025.8.26.3164,SP,Não reconhece operação,Genérico,Êxito,Extinção,4581.61,0.0,1,1,0,1,0,0
3421857-58.2025.8.26.1451,SP,Não reconhece operação,Golpe,Êxito,Improcedência,8090.05,0.0,1,1,0,1,1,0
3147900-89.2025.8.05.9194,BA,Não reconhece operação,Golpe,Êxito,Improcedência,16737.01,0.0,1,1,1,0,1,1
8465214-39.2025.8.23.8044,RR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14328.11,10449.26,0,0,1,1,1,0
6897455-68.2025.8.13.0831,MG,Não reconhece operação,Genérico,Êxito,Improcedência,12447.92,0.0,1,1,0,1,1,1
1301414-20.2025.8.18.5575,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20276.42,13243.64,1,1,1,1,0,1
7313851-46.2025.8.11.1288,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10645.63,7089.59,0,1,1,0,1,1
9679808-17.2025.8.23.8574,RR,Não reconhece operação,Genérico,Êxito,Improcedência,12748.4,0.0,1,1,1,0,1,1
3033107-47.2025.8.27.6823,TO,Não reconhece operação,Golpe,Êxito,Extinção,11807.32,0.0,1,1,1,1,1,1
2409390-60.2025.8.23.9390,RR,Não reconhece operação,Golpe,Não Êxito,Procedência,17485.51,11273.63,1,0,1,0,1,1
5978080-50.2025.8.26.7634,SP,Não reconhece operação,Genérico,Êxito,Improcedência,6545.09,0.0,1,1,0,0,1,1
4759836-34.2025.8.26.3718,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12540.2,9590.4,1,0,1,0,1,1
7139470-11.2025.8.04.9722,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,6528.87,5261.12,0,0,0,0,1,1
7187638-62.2025.8.07.6625,DF,Não reconhece operação,Genérico,Não Êxito,Procedência,13446.96,8888.04,0,1,0,0,0,1
4470471-96.2025.8.20.0567,RN,Não reconhece operação,Golpe,Êxito,Improcedência,18530.08,0.0,1,1,1,1,1,1
4669717-33.2025.8.17.2056,PE,Não reconhece operação,Golpe,Êxito,Improcedência,18617.65,0.0,1,1,1,1,1,1
7465337-81.2025.8.02.8550,AL,Não reconhece operação,Golpe,Êxito,Extinção,11411.99,0.0,0,1,1,0,1,1
6555423-53.2025.8.04.8788,AM,Não reconhece operação,Golpe,Êxito,Improcedência,17599.12,0.0,1,1,1,1,0,1
7673519-55.2025.8.15.6598,PB,Não reconhece operação,Golpe,Não Êxito,Acordo,14073.63,5517.98,1,1,0,1,0,1
5491969-16.2025.8.18.3143,PI,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,21660.81,12664.23,1,0,1,0,1,1
8724783-96.2025.8.05.2421,BA,Não reconhece operação,Genérico,Êxito,Extinção,14344.49,0.0,1,1,0,0,1,0
9765981-68.2025.8.05.0454,BA,Não reconhece operação,Golpe,Êxito,Improcedência,1000.0,0.0,1,1,1,0,1,0
4555804-68.2025.8.03.6022,AP,Não reconhece operação,Golpe,Êxito,Improcedência,19372.25,0.0,1,1,1,0,1,1
4339524-19.2025.8.17.3780,PE,Não reconhece operação,Golpe,Êxito,Improcedência,12729.47,0.0,1,1,1,1,0,1
7949695-32.2025.8.01.0677,AC,Não reconhece operação,Genérico,Êxito,Improcedência,13636.74,0.0,1,1,1,0,0,0
7090205-60.2025.8.17.9186,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16630.51,3326.1,0,1,0,0,1,1
8122609-57.2025.8.11.5556,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,7991.38,3791.2,1,1,0,1,0,1
9776015-31.2025.8.11.2594,MT,Não reconhece operação,Golpe,Não Êxito,Procedência,15348.51,8706.56,1,0,1,1,1,1
8059512-94.2025.8.19.2662,RJ,Não reconhece operação,Genérico,Êxito,Extinção,17604.88,0.0,1,1,0,0,0,0
6451663-29.2025.8.15.6012,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16768.6,5542.55,1,0,0,1,0,1
6480031-80.2025.8.20.8031,RN,Não reconhece operação,Genérico,Êxito,Extinção,12043.34,0.0,0,1,1,1,1,1
2623794-31.2025.8.22.2649,RO,Não reconhece operação,Golpe,Êxito,Improcedência,19849.44,0.0,0,1,1,1,0,0
6015917-29.2025.8.25.6780,SE,Não reconhece operação,Genérico,Êxito,Improcedência,10087.64,0.0,1,1,1,1,1,1
9780906-93.2025.8.23.1738,RR,Não reconhece operação,Golpe,Êxito,Extinção,11912.86,0.0,1,1,1,1,1,1
