numero,uf,sub_assunto,valor_causa,contrato,extrato,comprovante_credito,dossie,demonstrativo_divida,laudo_referenciado,escritorio
0129902-21.2025.8.09.0190,GO,Golpe,13832.54,1,0,1,0,1,0,Escritório B
0129969-44.2025.8.09.0106,GO,Golpe,19983.66,0,0,0,0,0,0,Escritório C
0130472-79.2025.8.11.0148,MT,Golpe,17251.25,1,1,1,0,0,0,Escritório A
0131203-22.2025.8.27.0248,TO,Genérico,19303.27,1,1,1,1,1,0,Escritório B
0131765-91.2025.8.21.0185,RS,Golpe,11334.98,0,1,1,1,1,1,Escritório C
0131999-08.2025.8.19.0257,RJ,Golpe,11804.26,1,1,1,1,1,1,Banca Demo
0132064-05.2025.8.13.0084,MG,Golpe,10671.85,1,1,1,0,0,1,Banca Demo
0132580-76.2025.8.18.0022,PI,Golpe,23183.8,1,1,1,1,1,1,Banca Demo
0132582-82.2025.8.21.0080,RS,Golpe,9479.48,0,0,0,0,0,0,Banca Demo
0133007-32.2025.8.22.0129,RO,Golpe,25153.29,1,1,1,1,1,0,Banca Demo
0133567-93.2025.8.11.0059,MT,Genérico,9015.51,1,1,1,1,0,0,Banca Demo
0134460-70.2025.8.22.0191,RO,Genérico,9936.5,1,1,1,1,1,1,Banca Demo
0135092-89.2025.8.12.0154,MS,Golpe,13571.93,1,1,1,0,0,1,Banca Demo
0135163-90.2025.8.21.0138,RS,Golpe,31000,1,1,0,0,0,1,Banca Demo
0135675-31.2025.8.16.0003,PR,Golpe,24652.62,1,0,0,1,0,0,Banca Demo
0135846-14.2025.8.22.0199,RO,Golpe,24261.74,1,1,0,1,1,0,Banca Demo
0135999-48.2025.8.26.0195,SP,Golpe,13110.51,0,0,0,0,0,1,Banca Demo
0136791-18.2025.8.15.0127,PB,Genérico,20742.74,1,1,0,1,1,1,Banca Demo
0137284-17.2025.8.22.0186,RO,Golpe,23464.11,1,0,1,0,0,1,Banca Demo
0137910-30.2025.8.19.0021,RJ,Golpe,16619.66,1,1,1,1,1,1,Banca Demo
0138374-23.2025.8.21.0175,RS,Golpe,17233.9,1,1,1,0,0,1,Banca Demo
0138629-80.2025.8.25.0106,SE,Golpe,13666.12,0,1,0,0,0,0,Banca Demo
0138933-36.2025.8.01.0110,AC,Golpe,19289.73,1,1,1,0,0,0,Banca Demo
0139048-84.2025.8.03.0277,AP,Golpe,27267.8,1,1,0,1,1,1,Banca Demo
0139377-29.2025.8.16.0053,PR,Genérico,5355.31,1,1,1,1,1,1,Banca Demo
0139767-67.2025.8.09.0158,GO,Golpe,18352.13,1,1,0,0,0,0,Banca Demo
0140643-25.2025.8.10.0245,MA,Golpe,18372.69,1,1,0,1,1,0,Banca Demo
0140888-47.2025.8.13.0279,MG,Golpe,8888.74,0,0,0,1,1,1,Banca Demo
0141747-21.2025.8.23.0203,RR,Golpe,11416.75,1,1,0,1,0,1,Banca Demo
0142249-56.2025.8.16.0234,PR,Golpe,8301.04,1,0,1,0,1,0,Banca Demo
0143047-25.2025.8.19.0269,RJ,Golpe,10964.76,1,1,0,0,0,1,Banca Demo
0143891-05.2025.8.02.0121,AL,Genérico,14965.67,1,1,0,1,0,1,Banca Demo
0144574-38.2025.8.13.0185,MG,Genérico,31000,1,0,1,0,0,1,Banca Demo
0145230-19.2025.8.10.0107,MA,Golpe,25500.92,1,0,1,1,0,1,Banca Demo
0145340-90.2025.8.14.0241,PA,Genérico,7632.27,1,1,1,0,0,1,Banca Demo
0145785-93.2025.8.07.0212,DF,Golpe,11910.31,1,1,1,1,1,1,Banca Demo
0146030-79.2025.8.22.0247,RO,Golpe,15869.55,1,0,0,0,0,1,Banca Demo
0146573-64.2025.8.15.0025,PB,Golpe,8837.84,1,1,1,1,1,1,Banca Demo
0146975-70.2025.8.07.0025,DF,Genérico,11059.56,1,1,0,1,1,0,Banca Demo
0147638-41.2025.8.15.0269,PB,Genérico,10786.41,1,0,0,0,1,0,Banca Demo
0148243-77.2025.8.12.0169,MS,Genérico,12194.78,1,1,0,0,0,0,Banca Demo
0148990-24.2025.8.23.0265,RR,Genérico,7824.94,0,0,0,0,0,0,Banca Demo
0149605-02.2025.8.19.0014,RJ,Golpe,11968.77,1,0,0,1,0,0,Banca Demo
0150438-81.2025.8.07.0037,DF,Golpe,15781.98,1,1,1,1,1,1,Banca Demo
0151145-27.2025.8.17.0019,PE,Genérico,18254.51,1,1,1,0,0,1,Banca Demo
